,area,aspect ratio,extent,mean intensity,max intensity,min intensity,orientation,perimeter,solidity,model
46,203.0,1.5872396998801916,0.712280701754386,0.5668935277394593,0.8889730958696476,0.28931413414172036,1.174294793118446,52.8700576850888,0.9530516431924883,UNet_4-0
47,84.0,2.5383967515597146,0.7058823529411765,0.49955263482660744,1.0,0.26527212143650497,-1.4579266554562027,38.72792206135785,0.9130434782608695,UNet_4-0
48,144.0,2.031892937565733,0.4458204334365325,0.5333999540080622,1.0,0.2055028000973947,0.790871426521337,56.52691193458118,0.8470588235294118,UNet_4-0
49,113.0,1.5046095148096046,0.6208791208791209,0.4730235593684588,0.7753152464654184,0.15628582346197936,-0.9302873383052921,41.4558441227157,0.904,UNet_4-0
50,397.0,1.3305841946573187,0.6683501683501684,0.5264205622435827,0.988628762541806,0.15719063545150502,-1.0555710637489943,80.42640687119285,0.9254079254079254,UNet_4-0
51,218.0,1.3120891211085022,0.7266666666666667,0.5188722998436651,1.0,0.16973552058921995,-1.4543995820370936,56.62741699796952,0.9121338912133892,UNet_4-0
52,24.0,1.9633607129436716,0.75,0.2300536108483128,0.3216650898770104,0.1543677073478398,1.34739248829353,17.071067811865476,1.0,UNet_4-0
53,996.0,1.5966366056361383,0.5925044616299822,0.4280540642544951,1.0,0.13544623147272153,0.8703861759431305,140.36753236814715,0.8932735426008969,UNet_4-0
54,188.0,1.2907591972790866,0.8392857142857143,0.17284323776769342,0.300697510718628,0.0858770077430089,0.6675386209908815,50.14213562373095,0.9641025641025641,UNet_4-0
55,799.0,3.109716242577593,0.4851244687310261,0.308241269632153,1.0,0.06892230576441102,-1.2329908448035685,149.7462120245875,0.8419388830347735,UNet_4-0
56,199.0,4.28009706823347,0.35535714285714287,0.3003240138918531,1.0,0.07963320463320463,1.3211217181258839,88.14823227814082,0.6677852348993288,UNet_4-0
57,363.0,4.206697232564412,0.42705882352941177,0.5419339585340543,1.0,0.20093731693028705,-1.4827070100869142,130.42640687119285,0.605,UNet_4-0
58,210.0,2.575094174316855,0.5384615384615384,0.37406531757162886,1.0,0.0973352033660589,-0.40367010710647416,65.698484809835,0.8936170212765957,UNet_4-0
59,33.0,1.5324494666764281,0.6111111111111112,0.27944544906570223,0.5401446654611212,0.16690777576853527,1.335147840287421,20.14213562373095,0.9428571428571428,UNet_4-0
60,10.0,1.2649110640673515,0.8333333333333334,0.4583905967450271,0.52875226039783,0.2938517179023508,1.5707963267948966,8.82842712474619,1.0,UNet_4-0
61,156.0,3.8665681111651655,0.4642857142857143,0.6172474150322252,1.0,0.20361663652802894,1.1862291372445126,63.248737341529164,0.8715083798882681,UNet_4-0
62,11.0,1.8821192526925417,0.7333333333333333,0.26907775768535264,0.3783001808318264,0.18788426763110308,0.14189705460416394,9.414213562373096,0.9166666666666666,UNet_4-0
63,1200.0,2.414014904208296,0.6211180124223602,0.24903371933966686,1.0,0.04120523919275957,-0.07686817300039138,163.53910524340094,0.9287925696594427,UNet_4-0
